episode,reward,triples_used,loss,entropy,lr
1,0.18181818181818182,5,1.483284592628479,1.565832495689392,0.01
2,0.1836734693877551,5,1.4628185033798218,1.60849928855896,0.01
3,0.20930232558139536,5,1.6718859672546387,1.6060729026794434,0.01
4,0.18181818181818182,5,1.4483165740966797,1.6080456972122192,0.01
5,0.19047619047619047,5,1.5181318521499634,1.6079615354537964,0.01
6,0.21428571428571427,5,1.7099076509475708,1.6079356670379639,0.01
7,0.1875,5,1.493904709815979,1.6082186698913574,0.01
8,0.17777777777777778,5,1.4155739545822144,1.6082477569580078,0.01
9,0.19047619047619047,5,1.5175623893737793,1.6085463762283325,0.01
10,0.1951219512195122,5,1.554868459701538,1.6086399555206299,0.01
